Pink Floyd | The Dark Side Of The Moon |1973| psychodelic rock | 43:00
Britney Spears | Baby One More Time |1999| pop | 42:20
Iron Maiden | The Book Of Souls |2016| heavy metal | 1:32:11
Iron Maiden | The Final Frontier |2010| heavy metal | 76:34
Iron Maiden | A Matter Of Life And Death |2006| heavy metal | 71:52
U2 | U218 Singles |2006| rock | 77:50
Bon Jovi | Crush |2000| pop rock | 58:20
Bon Jovi | These Days |1995|rock | 63:55
Billy Talent | Billy Talent Ii |2006| punk rock | 47:00
Ich Troje|Po Piąte... A Niech Gadają|2002|pop|55:51
Ich Troje|Ad. 4|2001|pop|45:43
Budka Suflera|The Best Of|2002|rock|25:22
Myslovitz|The Best Of|2003|alternative rock|111:40
The Doors|The Doors|1967|psychodelic rock|44:28
Dire Straits|Brothers In Arms|1985|rock|54:40
Dire Straits|Alchemy|1984|rock|94:05
Queensryche|Operation: Mindcrime|1988|heavy metal|54:12
Iron Maiden|Brave New World|2000|heavy metal|66:57
